TransMorph_ssim_1_diffusion_1
,SSIM,det
p137,0.8737860321998596,0.0124969482421875
p138,0.8922311663627625,0.01171875
p139,0.8904073238372803,0.005401611328125
p140,0.9095272421836853,0.0095977783203125
p141,0.9157381653785706,0.0092926025390625
p142,0.8952105045318604,0.0113525390625
p143,0.8953021764755249,0.0151519775390625
p144,0.9115172624588013,0.0112457275390625
p145,0.9125033020973206,0.0030670166015625
p146,0.8941069841384888,0.0077972412109375
p147,0.8953707218170166,0.01898193359375
p148,0.9142964482307434,0.0079345703125
p149,0.9097661972045898,0.0050201416015625
p150,0.9070276618003845,0.0113372802734375
p151,0.9029030799865723,0.007537841796875
p152,0.900422990322113,0.0071868896484375
p153,0.8970276117324829,0.007354736328125
p154,0.906974196434021,0.0111846923828125
p155,0.9138101935386658,0.0084075927734375
p156,0.9123809337615967,0.0083160400390625
p157,0.9145495295524597,0.01019287109375
p158,0.9099293351173401,0.00811767578125
p159,0.9129279851913452,0.0082855224609375
p160,0.8941283822059631,0.0096435546875
p161,0.9027711749076843,0.011962890625
p162,0.904309093952179,0.0102386474609375
p163,0.8988083004951477,0.0103912353515625
p164,0.9121221303939819,0.008819580078125
p165,0.9100122451782227,0.00335693359375
p166,0.9118528962135315,0.0068817138671875
p167,0.9176781177520752,0.005340576171875
p168,0.9137666821479797,0.0067291259765625
p169,0.9120613932609558,0.0057373046875
p170,0.9046341776847839,0.0057525634765625
p171,0.9080303311347961,0.0078582763671875
p172,0.9048373699188232,0.012786865234375
p173,0.905444860458374,0.00677490234375
p174,0.9244644045829773,0.005615234375
p175,0.9231005311012268,0.009613037109375
p176,0.8959653377532959,0.0066070556640625
p177,0.8926165699958801,0.0084686279296875
p178,0.8896145224571228,0.0108489990234375
p179,0.8971948623657227,0.012603759765625
p180,0.9222157597541809,0.0068206787109375
p181,0.9298292398452759,0.0082244873046875
p182,0.9192350506782532,0.0111541748046875
p183,0.9188464283943176,0.0043792724609375
p184,0.8935614824295044,0.011444091796875
p185,0.8980417847633362,0.004486083984375
p186,0.9127941727638245,0.0083770751953125
p187,0.9139997959136963,0.0092926025390625
p188,0.8944972157478333,0.0103912353515625
p189,0.9009195566177368,0.006439208984375
p190,0.9103559851646423,0.0050048828125
p191,0.9076269865036011,0.007232666015625
p192,0.8975368142127991,0.010711669921875
p193,0.8907657265663147,0.0046234130859375
p194,0.9140623211860657,0.0089874267578125
p195,0.9156302213668823,0.007965087890625
p196,0.8625072836875916,0.0142059326171875
p197,0.8774587512016296,0.012786865234375
p198,0.9091882705688477,0.0112152099609375
p199,0.9055293202400208,0.0063934326171875
p200,0.9100069403648376,0.0125732421875
p201,0.9102159142494202,0.00933837890625
p202,0.8939902782440186,0.009857177734375
p203,0.8998993039131165,0.0097503662109375
p204,0.9027146100997925,0.0135955810546875
p205,0.906059205532074,0.0074005126953125
p206,0.8988866806030273,0.01678466796875
p207,0.8947248458862305,0.0049285888671875
p208,0.8970887064933777,0.01226806640625
p209,0.8887909650802612,0.0046844482421875
p210,0.9108754992485046,0.008026123046875
p211,0.9136597514152527,0.0049896240234375
p212,0.9055840373039246,0.0090484619140625
p213,0.9019390940666199,0.008544921875
p214,0.9053052067756653,0.0043487548828125
p215,0.916882336139679,0.0146331787109375
p216,0.9198025465011597,0.0080413818359375
p217,0.9186446666717529,0.007904052734375
p218,0.8913578987121582,0.011566162109375
p219,0.8951917886734009,0.002777099609375
p220,0.9047042727470398,0.0083465576171875
p221,0.9020311832427979,0.0081939697265625
p222,0.9153042435646057,0.007598876953125
p223,0.9168092608451843,0.0106658935546875
p224,0.9108684659004211,0.0097198486328125
p225,0.9053434729576111,0.0052337646484375
p226,0.9130492806434631,0.007415771484375
p227,0.9097699522972107,0.0119476318359375
p228,0.904089629650116,0.0096893310546875
p229,0.8996282815933228,0.0108795166015625
p230,0.9214580059051514,0.0076904296875
p231,0.9190518856048584,0.0081634521484375
p232,0.904052734375,0.008758544921875
p233,0.9013409614562988,0.0022125244140625
p234,0.9274566173553467,0.016387939453125
p235,0.9232689142227173,0.0040130615234375
p236,0.8943420648574829,0.012298583984375
p237,0.8969233632087708,0.0068359375
p238,0.8909661769866943,0.0052490234375
p239,0.8883662819862366,0.0094757080078125
p240,0.9304380416870117,0.009124755859375
p241,0.9244917631149292,0.0023956298828125
p242,0.9143703579902649,0.007720947265625
p243,0.9117034077644348,0.0074615478515625
p244,0.9045758843421936,0.00946044921875
p245,0.8978353142738342,0.0104522705078125
p246,0.8823454976081848,0.0068511962890625
p247,0.886053204536438,0.013702392578125
p248,0.9167060256004333,0.006072998046875
p249,0.9180451035499573,0.0096435546875
p250,0.8898227214813232,0.0103607177734375
p251,0.8958614468574524,0.0064697265625
p252,0.8779657483100891,0.01055908203125
p253,0.8798677325248718,0.0146942138671875
p254,0.9123589992523193,0.010223388671875
p255,0.9117316603660583,0.0054779052734375
p256,0.8862758874893188,0.014373779296875
p257,0.8900752067565918,0.006500244140625
p258,0.9097449779510498,0.009613037109375
p259,0.9056406021118164,0.0037994384765625
p260,0.9141273498535156,0.0096282958984375
p261,0.9142002463340759,0.009429931640625
p262,0.9181860685348511,0.009613037109375
p263,0.9182384014129639,0.0090789794921875
p264,0.9090007543563843,0.0106658935546875
p265,0.9158053398132324,0.0052032470703125
p266,0.9204427599906921,0.0083770751953125
p267,0.9219292998313904,0.004730224609375
p268,0.8792701959609985,0.011016845703125
p269,0.8832792639732361,0.0082550048828125
p270,0.9159570932388306,0.0106353759765625
p271,0.9176152348518372,0.0075225830078125
p272,0.9094732999801636,0.0046539306640625
p273,0.9130988717079163,0.00927734375
p274,0.8814361691474915,0.0068817138671875
p275,0.886434018611908,0.0118255615234375
p276,0.9029040932655334,0.0087738037109375
p277,0.8991327285766602,0.00872802734375
p278,0.901410698890686,0.006256103515625
p279,0.9008868932723999,0.0095062255859375
p280,0.9128179550170898,0.0084991455078125
p281,0.9080184698104858,0.0073089599609375
p282,0.9172701835632324,0.011871337890625
p283,0.9172077178955078,0.00457763671875
p284,0.9091213345527649,0.0113983154296875
p285,0.9049972295761108,0.00469970703125
p286,0.908521294593811,0.0076446533203125
p287,0.9022022485733032,0.006927490234375
p288,0.9028929471969604,0.00640869140625
p289,0.8987624645233154,0.0064239501953125
p290,0.90680992603302,0.008575439453125
p291,0.9023939371109009,0.0062713623046875
p292,0.9139586687088013,0.012786865234375
p293,0.9118344187736511,0.0044403076171875
p294,0.9238438010215759,0.009246826171875
p295,0.9247079491615295,0.00579833984375
p296,0.9101846218109131,0.0095672607421875
p297,0.904725193977356,0.0064239501953125
p298,0.9010888934135437,0.00885009765625
p299,0.897384524345398,0.0103302001953125
p300,0.9266949892044067,0.0163116455078125
p301,0.9229681491851807,0.0039825439453125
p302,0.9046299457550049,0.009613037109375
p303,0.9001021981239319,0.011474609375
p304,0.8923298716545105,0.0152740478515625
p305,0.8935248255729675,0.0107879638671875
p306,0.9105557799339294,0.011566162109375
p307,0.8993827104568481,0.0084686279296875
p308,0.8971996903419495,0.006439208984375
p309,0.9020320773124695,0.013824462890625
p310,0.9125654101371765,0.010986328125
p311,0.9078084230422974,0.005035400390625
p312,0.9027040004730225,0.00921630859375
p313,0.8913475871086121,0.0100555419921875
p314,0.8966099619865417,0.0083465576171875
p315,0.8984848260879517,0.0116119384765625
p316,0.9002377986907959,0.0116119384765625
p317,0.9026327133178711,0.0059661865234375
p318,0.8966232538223267,0.0073089599609375
p319,0.899625301361084,0.0107879638671875
p320,0.9077592492103577,0.0078887939453125
p321,0.9145790338516235,0.00567626953125
p322,0.891240119934082,0.0126190185546875
p323,0.8883544206619263,0.0056915283203125
p324,0.9003504514694214,0.013427734375
p325,0.9000996947288513,0.012115478515625
p326,0.897901713848114,0.0125579833984375
p327,0.8973880410194397,0.0102386474609375
p328,0.8956915140151978,0.01336669921875
p329,0.8949003219604492,0.0114898681640625
p330,0.9084535241127014,0.0086669921875
p331,0.8991290926933289,0.0080413818359375
p332,0.8818040490150452,0.01068115234375
p333,0.8758739233016968,0.0145416259765625
p334,0.8907241225242615,0.0107269287109375
p335,0.8935816884040833,0.0134124755859375
p336,0.8745201826095581,0.0152740478515625
p337,0.8873255848884583,0.0131378173828125
p338,0.894271194934845,0.010223388671875
p339,0.8964347839355469,0.00799560546875
p340,0.888022243976593,0.0084991455078125
p341,0.899410605430603,0.0145263671875
p342,0.8942158222198486,0.0190277099609375
p343,0.8936271667480469,0.0073089599609375
p344,0.8989368677139282,0.00689697265625
p345,0.8938004970550537,0.007904052734375
p346,0.9076075553894043,0.0068817138671875
p347,0.9121930003166199,0.0123443603515625
p348,0.8971637487411499,0.008575439453125
p349,0.8996937274932861,0.006927490234375
p350,0.9028263092041016,0.012664794921875
p351,0.8939284682273865,0.006500244140625
p352,0.9067727327346802,0.01068115234375
p353,0.8979794383049011,0.0071563720703125
p354,0.9162160754203796,0.008636474609375
p355,0.9208120703697205,0.007843017578125
p356,0.8890132904052734,0.012664794921875
p357,0.8953324556350708,0.011260986328125
p358,0.8984051942825317,0.0069427490234375
p359,0.9008195996284485,0.0089874267578125
p360,0.8940215110778809,0.0066680908203125
p361,0.8956095576286316,0.014404296875
p362,0.8977848291397095,0.0087890625
p363,0.9015718102455139,0.0140380859375
p364,0.9032918214797974,0.0063934326171875
p365,0.9048857688903809,0.0071563720703125
p366,0.9093590974807739,0.0072784423828125
p367,0.9118419885635376,0.0113372802734375
p368,0.8763722777366638,0.0119781494140625
p369,0.8886765837669373,0.009368896484375
p370,0.8997373580932617,0.0106964111328125
p371,0.9015065431594849,0.010772705078125
p372,0.9020751118659973,0.0080413818359375
p373,0.9013199806213379,0.0069580078125
p374,0.9137385487556458,0.0074920654296875
p375,0.9139673709869385,0.0115814208984375
p376,0.9134968519210815,0.0093231201171875
p377,0.9153205156326294,0.011138916015625
p378,0.8887195587158203,0.0046539306640625
p379,0.8873119354248047,0.0093231201171875
p380,0.9196307063102722,0.011505126953125
p381,0.9151599407196045,0.0076904296875
p382,0.8904296159744263,0.010284423828125
p383,0.8915498852729797,0.013824462890625
p384,0.9128051400184631,0.0099334716796875
p385,0.9146467447280884,0.0107421875
p386,0.9035283923149109,0.0086669921875
p387,0.9031007289886475,0.008270263671875
p388,0.9068981409072876,0.0078582763671875
p389,0.9108974933624268,0.005126953125
p390,0.8932857513427734,0.0118255615234375
p391,0.8891143798828125,0.0093841552734375
p392,0.9056864380836487,0.009002685546875
p393,0.9135687351226807,0.0113677978515625
p394,0.9058687090873718,0.0089263916015625
p395,0.9033915400505066,0.00384521484375
p396,0.9068793654441833,0.01239013671875
p397,0.9097146987915039,0.005401611328125
p398,0.9068970084190369,0.007232666015625
p399,0.9145685434341431,0.0072784423828125
p400,0.9247751235961914,0.0091705322265625
p401,0.9276413321495056,0.006072998046875
p402,0.8971406817436218,0.0084381103515625
p403,0.9043331742286682,0.0127716064453125
p404,0.9227409958839417,0.00640869140625
p405,0.9228575825691223,0.0039520263671875
p406,0.9139396548271179,0.009033203125
p407,0.905159592628479,0.0058135986328125
p408,0.8975734710693359,0.0068817138671875
p409,0.9091599583625793,0.0072021484375
p410,0.9071513414382935,0.008392333984375
p411,0.912632942199707,0.010162353515625
p412,0.8999069929122925,0.0067138671875
p413,0.9082378149032593,0.01129150390625
p414,0.8919491171836853,0.00762939453125
p415,0.8862344622612,0.0055084228515625
p416,0.9164263606071472,0.011993408203125
p417,0.9112161993980408,0.0045166015625
p418,0.907486081123352,0.010101318359375
p419,0.9094007611274719,0.0100555419921875
p420,0.9098476767539978,0.0113677978515625
p421,0.9096887111663818,0.0112457275390625
p422,0.9008793234825134,0.0193023681640625
p423,0.8944635987281799,0.0048065185546875
p424,0.8805647492408752,0.0093536376953125
p425,0.8863794207572937,0.0131988525390625
