TransMorph_ssim_1_diffusion_1
,SSIM,det
p339,0.5790417194366455,0.0
p340,0.5840855836868286,0.0
p341,0.5793090462684631,0.0
p342,0.5850332975387573,0.0
p343,0.5860853791236877,0.0
p344,0.6075925230979919,0.0
p345,0.6055307984352112,0.0
p346,0.6269861459732056,0.0
p347,0.6248165369033813,0.0
p348,0.617547869682312,0.0
p349,0.6192224621772766,0.0
p350,0.6135085821151733,0.0
p351,0.6144784688949585,0.0
p352,0.6295632123947144,0.0
p353,0.6289805769920349,0.0
p354,0.6285609006881714,0.0
p355,0.6261062622070312,0.0
p356,0.5883520841598511,0.0
p357,0.5870151519775391,0.0
p358,0.5998572707176208,0.0
p359,0.5999863743782043,0.0
p360,0.586441159248352,0.0
p361,0.5860716104507446,0.0
p362,0.6053663492202759,0.0
p363,0.6049071550369263,0.0
p364,0.6038814187049866,0.0
p365,0.6036840677261353,0.0
p366,0.6146855354309082,0.0
p367,0.6124966144561768,0.0
p368,0.512456476688385,0.0
p369,0.5132312178611755,0.0
p370,0.5951175093650818,0.0
p371,0.595447301864624,0.0
p372,0.6516039967536926,0.0
p373,0.6512055397033691,0.0
p374,0.6107157468795776,0.0
p375,0.6099012494087219,0.0
p376,0.6147646903991699,0.0
p377,0.614679217338562,0.0
p378,0.6171270608901978,0.0
p379,0.6173039078712463,0.0
p380,0.6401163339614868,0.0
p381,0.641129732131958,0.0
p382,0.5881564617156982,0.0
p383,0.583077073097229,0.0
p384,0.6367562413215637,0.0
p385,0.6369035243988037,0.0
p386,0.6075625419616699,0.0
p387,0.6066523194313049,0.0
p388,0.6220549941062927,0.0
p389,0.6216036081314087,0.0
p390,0.6113875508308411,0.0
p391,0.6112893223762512,0.0
p392,0.6237512826919556,0.0
p393,0.6254012584686279,0.0
p394,0.6449472308158875,0.0
p395,0.6450434923171997,0.0
p396,0.5802726745605469,0.0
p397,0.5818693041801453,0.0
p398,0.6180786490440369,0.0
p399,0.6187006235122681,0.0
p400,0.6705687642097473,0.0
p401,0.6720408797264099,0.0
p402,0.6215498447418213,0.0
p403,0.6185163855552673,0.0
p404,0.6780820488929749,0.0
p405,0.6758068799972534,0.0
p406,0.638023316860199,0.0
p407,0.6408102512359619,0.0
p408,0.6193869113922119,0.0
p409,0.6199530959129333,0.0
p410,0.6414346694946289,0.0
p411,0.6416445970535278,0.0
p412,0.6121221780776978,0.0
p413,0.6124870181083679,0.0
p414,0.6499771475791931,0.0
p415,0.648015558719635,0.0
p416,0.619043231010437,0.0
p417,0.6218772530555725,0.0
p418,0.6024098992347717,0.0
p419,0.6013670563697815,0.0
p420,0.6025331616401672,0.0
p421,0.6019659042358398,0.0
p422,0.5794308185577393,0.0
p423,0.5809769034385681,0.0
p424,0.5768442153930664,0.0
p425,0.5717427730560303,0.0
p426,0.5762553811073303,0.0
p427,0.5780640244483948,0.0
p428,0.5590350031852722,0.0
p429,0.559447169303894,0.0
p430,0.5573587417602539,0.0
p431,0.5586126446723938,0.0
p432,0.6037987470626831,0.0
p433,0.6025472283363342,0.0
p434,0.6142999529838562,0.0
p435,0.6129237413406372,0.0
p436,0.6376975774765015,0.0
p437,0.6364709734916687,0.0
p438,0.6395086050033569,0.0
p439,0.6380012035369873,0.0
p440,0.6071742177009583,0.0
p441,0.6079030632972717,0.0
p442,0.5781987905502319,0.0
p443,0.5772819519042969,0.0
p444,0.6205180287361145,0.0
p445,0.6223642826080322,0.0
p446,0.629711389541626,0.0
p447,0.6276453137397766,0.0
p448,0.5558484792709351,0.0
p449,0.5553674101829529,0.0
p450,0.5689821243286133,0.0
p451,0.5702933669090271,0.0
p452,0.5675595998764038,0.0
p453,0.5685903429985046,0.0
p454,0.5991433262825012,0.0
p455,0.6012264490127563,0.0
p456,0.5492680072784424,0.0
p457,0.5512109398841858,0.0
p458,0.6073504686355591,0.0
p459,0.6099808216094971,0.0
p460,0.612556517124176,0.0
p461,0.6159107685089111,0.0
p462,0.6441857218742371,0.0
p463,0.6441278457641602,0.0
p464,0.6205618381500244,0.0
p465,0.6212186217308044,0.0
p466,0.5981616377830505,0.0
p467,0.5997747182846069,0.0
p468,0.6062405705451965,0.0
p469,0.6067935824394226,0.0
p470,0.6332658529281616,0.0
p471,0.6324974894523621,0.0
p472,0.6244116425514221,0.0
p473,0.6243022680282593,0.0
p474,0.5981025099754333,0.0
p475,0.5985485315322876,0.0
p476,0.6218316555023193,0.0
p477,0.6226047277450562,0.0
p478,0.6321821212768555,0.0
p479,0.6332873106002808,0.0
p480,0.6642209887504578,0.0
p481,0.6625721454620361,0.0
p482,0.6233331561088562,0.0
p483,0.6233301758766174,0.0
p484,0.6200994849205017,0.0
p485,0.6207678914070129,0.0
p486,0.6475401520729065,0.0
p487,0.6485379934310913,0.0
p488,0.6279221773147583,0.0
p489,0.6255211234092712,0.0
p490,0.5929964184761047,0.0
p491,0.592319905757904,0.0
p492,0.633160412311554,0.0
p493,0.6317679286003113,0.0
p494,0.5874052047729492,0.0
p495,0.5879170894622803,0.0
p496,0.6085092425346375,0.0
p497,0.6108221411705017,0.0
p498,0.656998336315155,0.0
p499,0.6581447124481201,0.0
p500,0.598227322101593,0.0
p501,0.5985233187675476,0.0
p502,0.6371243000030518,0.0
p503,0.6372107267379761,0.0
p504,0.6172521710395813,0.0
p505,0.6168783903121948,0.0
p506,0.6377097964286804,0.0
p507,0.6382622122764587,0.0
p508,0.6420345902442932,0.0
p509,0.640275239944458,0.0
p510,0.6086674928665161,0.0
p511,0.6098486185073853,0.0
p512,0.6098539233207703,0.0
p513,0.6098042130470276,0.0
p514,0.6259917616844177,0.0
p515,0.6252877116203308,0.0
p516,0.6079208850860596,0.0
p517,0.6051623821258545,0.0
p518,0.6228626370429993,0.0
p519,0.6214028000831604,0.0
p520,0.6458646655082703,0.0
p521,0.6479375958442688,0.0
p522,0.6108254790306091,0.0
p523,0.6103798151016235,0.0
p524,0.6428723335266113,0.0
p525,0.6447697877883911,0.0
p526,0.5931992530822754,0.0
p527,0.5902097225189209,0.0
p528,0.6035844087600708,0.0
p529,0.6024802327156067,0.0
p530,0.6154354810714722,0.0
p531,0.613981306552887,0.0
p532,0.6078211665153503,0.0
p533,0.6080074310302734,0.0
p534,0.6060110330581665,0.0
p535,0.6055047512054443,0.0
p536,0.5974946022033691,0.0
p537,0.5990725755691528,0.0
p538,0.5699077844619751,0.0
p539,0.5687651038169861,0.0
p540,0.6272335052490234,0.0
p541,0.6256759166717529,0.0
p542,0.5779052376747131,0.0
p543,0.5750616788864136,0.0
p544,0.600542426109314,0.0
p545,0.601328432559967,0.0
p546,0.5839216113090515,0.0
p547,0.5844310522079468,0.0
p548,0.628847062587738,0.0
p549,0.6271225810050964,0.0
p550,0.5878109335899353,0.0
p551,0.588562548160553,0.0
p552,0.6152268052101135,0.0
p553,0.614298403263092,0.0
p554,0.6109983921051025,0.0
p555,0.6099321842193604,0.0
p556,0.6247879862785339,0.0
p557,0.624660849571228,0.0
p558,0.6118708252906799,0.0
p559,0.6132427453994751,0.0
p560,0.6200735569000244,0.0
p561,0.6185649633407593,0.0
p562,0.6176969408988953,0.0
p563,0.6154691576957703,0.0
